[2021-08-13 13:42:23,092] - [trainer.py file line:81] - INFO: Current epoch learning rate: 1.000000e-04
[2021-08-13 13:42:25,124] - [trainer.py file line:114] - INFO: init epoch: 1	 batch: 5
[2021-08-13 13:42:25,176] - [trainer.py file line:116] - INFO: rec_loss: 0.1596745551
[2021-08-13 13:42:25,176] - [trainer.py file line:141] - INFO: total_loss: 0.1596745551
[2021-08-13 13:42:25,862] - [trainer.py file line:81] - INFO: Current epoch learning rate: 1.000000e-04
[2021-08-13 13:42:27,733] - [trainer.py file line:114] - INFO: init epoch: 2	 batch: 5
[2021-08-13 13:42:27,786] - [trainer.py file line:116] - INFO: rec_loss: 0.1324800700
[2021-08-13 13:42:27,786] - [trainer.py file line:141] - INFO: total_loss: 0.1324800700
[2021-08-13 13:42:28,478] - [trainer.py file line:81] - INFO: Current epoch learning rate: 1.000000e-04
[2021-08-13 13:42:30,825] - [trainer.py file line:114] - INFO: epoch: 1	 batch: 5
[2021-08-13 13:42:30,879] - [trainer.py file line:116] - INFO: rec_loss: 0.1113331914
[2021-08-13 13:42:30,882] - [trainer.py file line:126] - INFO: per_loss: 0.0000091879
[2021-08-13 13:42:30,883] - [trainer.py file line:134] - INFO: tpl_loss: 0.0000076552
[2021-08-13 13:42:30,917] - [trainer.py file line:139] - INFO: adv_loss: 0.0000002332
[2021-08-13 13:42:30,917] - [trainer.py file line:141] - INFO: total_loss: 0.1113502607
[2021-08-13 13:42:31,813] - [trainer.py file line:81] - INFO: Current epoch learning rate: 1.000000e-04
[2021-08-13 13:42:33,952] - [trainer.py file line:114] - INFO: epoch: 2	 batch: 5
[2021-08-13 13:42:34,007] - [trainer.py file line:116] - INFO: rec_loss: 0.1266347915
[2021-08-13 13:42:34,010] - [trainer.py file line:126] - INFO: per_loss: 0.0000087469
[2021-08-13 13:42:34,012] - [trainer.py file line:134] - INFO: tpl_loss: 0.0000068709
[2021-08-13 13:42:34,045] - [trainer.py file line:139] - INFO: adv_loss: 0.0000003807
[2021-08-13 13:42:34,045] - [trainer.py file line:141] - INFO: total_loss: 0.1266507953
[2021-08-13 13:42:34,796] - [trainer.py file line:155] - INFO: Epoch 2 evaluation process...
[2021-08-13 13:42:35,929] - [trainer.py file line:204] - INFO: val_rec_loss: 0.1616109014
[2021-08-13 13:42:35,930] - [trainer.py file line:205] - INFO: val_per_loss: 0.0000117143
[2021-08-13 13:42:35,931] - [trainer.py file line:206] - INFO: val_tpl_loss: 0.0000089562
[2021-08-13 13:42:35,931] - [trainer.py file line:207] - INFO: val_adv_loss: 0.0000005526
[2021-08-13 13:42:35,931] - [trainer.py file line:208] - INFO: total_val_loss: 0.1616321206
[2021-08-13 13:42:35,931] - [trainer.py file line:260] - INFO: Ref  PSNR (now): 21.220 	 SSIM (now): 0.4043
[2021-08-13 13:42:35,931] - [trainer.py file line:267] - INFO: Ref  PSNR (max): 21.220 (2) 	 SSIM (max): 0.4043 (2)
[2021-08-13 13:42:35,931] - [trainer.py file line:270] - INFO: Evaluation over.
[2021-08-13 13:42:35,936] - [trainer.py file line:81] - INFO: Current epoch learning rate: 1.000000e-04
[2021-08-13 13:42:37,890] - [trainer.py file line:114] - INFO: epoch: 3	 batch: 5
[2021-08-13 13:42:37,945] - [trainer.py file line:116] - INFO: rec_loss: 0.1001769826
[2021-08-13 13:42:37,948] - [trainer.py file line:126] - INFO: per_loss: 0.0000081741
[2021-08-13 13:42:37,950] - [trainer.py file line:134] - INFO: tpl_loss: 0.0000064778
[2021-08-13 13:42:37,983] - [trainer.py file line:139] - INFO: adv_loss: 0.0000010921
[2021-08-13 13:42:37,983] - [trainer.py file line:141] - INFO: total_loss: 0.1001927257
[2021-08-13 13:42:38,782] - [trainer.py file line:81] - INFO: Current epoch learning rate: 1.000000e-04
[2021-08-13 13:42:41,013] - [trainer.py file line:114] - INFO: epoch: 4	 batch: 5
[2021-08-13 13:42:41,067] - [trainer.py file line:116] - INFO: rec_loss: 0.1037965938
[2021-08-13 13:42:41,071] - [trainer.py file line:126] - INFO: per_loss: 0.0000099572
[2021-08-13 13:42:41,072] - [trainer.py file line:134] - INFO: tpl_loss: 0.0000074117
[2021-08-13 13:42:41,106] - [trainer.py file line:139] - INFO: adv_loss: 0.0000008939
[2021-08-13 13:42:41,106] - [trainer.py file line:141] - INFO: total_loss: 0.1038148552
[2021-08-13 13:42:41,883] - [trainer.py file line:155] - INFO: Epoch 4 evaluation process...
[2021-08-13 13:42:42,718] - [trainer.py file line:204] - INFO: val_rec_loss: 0.1329279393
[2021-08-13 13:42:42,718] - [trainer.py file line:205] - INFO: val_per_loss: 0.0000108575
[2021-08-13 13:42:42,719] - [trainer.py file line:206] - INFO: val_tpl_loss: 0.0000082811
[2021-08-13 13:42:42,719] - [trainer.py file line:207] - INFO: val_adv_loss: 0.0000009480
[2021-08-13 13:42:42,719] - [trainer.py file line:208] - INFO: total_val_loss: 0.1329480410
[2021-08-13 13:42:42,719] - [trainer.py file line:214] - INFO: saving the model...
[2021-08-13 13:42:42,833] - [trainer.py file line:230] - INFO: saving the model...
[2021-08-13 13:42:42,944] - [trainer.py file line:247] - INFO: saving the model...
[2021-08-13 13:42:43,059] - [trainer.py file line:260] - INFO: Ref  PSNR (now): 22.500 	 SSIM (now): 0.4361
[2021-08-13 13:42:43,059] - [trainer.py file line:267] - INFO: Ref  PSNR (max): 22.500 (4) 	 SSIM (max): 0.4361 (4)
[2021-08-13 13:42:43,059] - [trainer.py file line:270] - INFO: Evaluation over.
[2021-08-13 13:42:43,060] - [trainer.py file line:81] - INFO: Current epoch learning rate: 1.000000e-04
[2021-08-13 13:42:45,014] - [trainer.py file line:114] - INFO: epoch: 5	 batch: 5
[2021-08-13 13:42:45,045] - [trainer.py file line:116] - INFO: rec_loss: 0.1130917221
[2021-08-13 13:42:45,049] - [trainer.py file line:126] - INFO: per_loss: 0.0000101892
[2021-08-13 13:42:45,050] - [trainer.py file line:134] - INFO: tpl_loss: 0.0000077426
[2021-08-13 13:42:45,084] - [trainer.py file line:139] - INFO: adv_loss: 0.0000015590
[2021-08-13 13:42:45,084] - [trainer.py file line:141] - INFO: total_loss: 0.1131112128
[2021-08-13 13:42:45,864] - [trainer.py file line:81] - INFO: Current epoch learning rate: 1.000000e-04
[2021-08-13 13:42:47,645] - [trainer.py file line:114] - INFO: epoch: 6	 batch: 5
[2021-08-13 13:42:47,700] - [trainer.py file line:116] - INFO: rec_loss: 0.0947054625
[2021-08-13 13:42:47,703] - [trainer.py file line:126] - INFO: per_loss: 0.0000078368
[2021-08-13 13:42:47,704] - [trainer.py file line:134] - INFO: tpl_loss: 0.0000065250
[2021-08-13 13:42:47,738] - [trainer.py file line:139] - INFO: adv_loss: 0.0000011000
[2021-08-13 13:42:47,738] - [trainer.py file line:141] - INFO: total_loss: 0.0947209299
[2021-08-13 13:42:48,521] - [trainer.py file line:155] - INFO: Epoch 6 evaluation process...
[2021-08-13 13:42:49,380] - [trainer.py file line:204] - INFO: val_rec_loss: 0.1227557585
[2021-08-13 13:42:49,381] - [trainer.py file line:205] - INFO: val_per_loss: 0.0000107134
[2021-08-13 13:42:49,381] - [trainer.py file line:206] - INFO: val_tpl_loss: 0.0000081323
[2021-08-13 13:42:49,381] - [trainer.py file line:207] - INFO: val_adv_loss: 0.0000008380
[2021-08-13 13:42:49,381] - [trainer.py file line:208] - INFO: total_val_loss: 0.1227754354
[2021-08-13 13:42:49,381] - [trainer.py file line:214] - INFO: saving the model...
[2021-08-13 13:42:49,512] - [trainer.py file line:230] - INFO: saving the model...
[2021-08-13 13:42:49,639] - [trainer.py file line:247] - INFO: saving the model...
